Time,Section,Velocity
1156,372,5.844
1156,373,5.844
1156,390,-0.24
1156,391,-0.228
1156,392,0.264
1156,399,2.652
1161,337,0.288
1161,338,-0.276
1161,339,0.288
1161,362,8.652
1161,363,9.48
1161,364,9.828
1161,365,-0.348
1161,366,6.456
1161,367,5.844
1161,369,11.292
1161,370,9.66
1161,371,4.548
1161,372,5.844
1161,373,5.844
1161,390,-0.312
1161,391,-0.336
1161,392,0.264
1161,399,2.652
1162,337,0.276
1162,338,-0.276
1162,339,0.288
1162,362,8.376
1162,363,9.228
1162,364,10.152
1162,365,6.864
1162,366,6.468
1162,367,5.844
1162,369,10.392
1162,370,9.936
1162,371,4.572
1162,372,5.844
1162,373,5.844
1162,390,-0.264
1162,391,-0.264
1162,392,0.264
1162,399,2.652
1163,337,0.276
1163,338,-0.276
1163,339,0.288
1163,362,8.304
1163,363,9.144
1163,364,10.236
1163,365,6.312
1163,366,6.468
1163,367,5.844
1163,369,10.14
1163,370,9.972
1163,371,4.572
1163,372,5.844
1163,373,5.844
1163,390,-0.264
1163,391,-0.252
1163,392,0.264
1163,399,2.652
1164,337,0.276
1164,338,-0.276
1164,339,0.288
1164,362,8.244
1164,363,9.06
1164,364,10.32
1164,365,6.024
1164,366,6.468
1164,367,5.844
1164,369,9.912
1164,370,9.96
1164,371,4.572
1164,372,5.844
1164,373,5.844
1164,390,-0.252
1164,391,-0.24
1164,392,0.264
1164,399,2.652
1165,337,0.276
1165,338,-0.276
1165,339,0.288
1165,362,8.184
1165,363,8.988
1165,364,10.38
1165,365,5.784
1165,366,6.468
1165,367,5.844
1165,369,9.708
1165,370,9.912
1165,371,4.584
1165,372,5.844
1165,373,5.844
1165,390,-0.24
1165,391,-0.24
1165,392,0.264
1165,399,2.652
1166,337,0.276
1166,338,-0.276
1166,339,0.288
1166,362,8.136
1166,363,8.904
1166,364,10.44
1166,365,5.556
1166,366,6.468
1166,367,5.844
1166,369,9.516
1166,370,9.852
1166,371,4.584
1166,372,5.844
1166,373,5.844
1166,390,-0.24
1166,391,-0.228
1166,392,0.264
1166,399,2.652
1211,337,0.36
1211,338,-0.324
1211,339,0.276
1211,362,0.42
1211,363,10.056
1211,364,10.092
1211,365,0.3
1211,366,6.3
1211,367,5.7
1211,369,12.96
1211,370,11.856
1211,371,4.464
1211,372,5.7
1211,373,5.7
1211,390,3.336
1211,391,-3.804
1211,392,-2.208
1211,399,2.58
1212,337,0.36
1212,338,-0.324
1212,339,0.276
1212,362,0.42
1212,363,9.552
1212,364,10.32
1212,365,-6.576
1212,366,6.3
1212,367,5.7
1212,369,12.012
1212,370,11.508
1212,371,4.464
1212,372,5.7
1212,373,5.7
1212,390,-2.892
1212,391,-3.228
1212,392,-2.172
1212,399,2.58
1213,337,0.372
1213,338,-0.312
1213,339,0.276
1213,362,0.408
1213,363,9.432
1213,364,10.368
1213,365,-6.3
1213,366,6.3
1213,367,5.7
1213,369,11.76
1213,370,11.376
1213,371,4.464
1213,372,5.7
1213,373,5.7
1213,390,-2.808
1213,391,-3.084
1213,392,-2.172
1213,399,2.58
1214,337,0.372
1214,338,-0.312
1214,339,0.276
